CODUSU,nro_hogar,ch03,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,cat_ocup,pp03c,pp03i,pp10a,p21,tot_p12,t_vi,itf,ch12,ch13,ch14,pp3e_tot,pp3f_tot,df,rango_edad,adulto_esquiv,ID_hogar,ad_equiv_hogar,ingreso_necesario,pobre
126143  ,1.0,1.0,1.0,42.0,1.0,4.0,2.0,1.0,,177.5,3.0,1.0,2.0,,560.0,,,710.0,2.0,1.0,  ,40.0,0.0,T105,30 a 45 años,1.0,126143  -1.0,2.95,604.9565,0
126143  ,1.0,2.0,2.0,23.0,1.0,4.0,2.0,1.0,,177.5,3.0,,2.0,,150.0,,,710.0,2.0,1.0,  ,0.0,0.0,T105,18 a 29 años,0.76,126143  -1.0,2.95,604.9565,0
126143  ,1.0,3.0,2.0,6.0,5.0,4.0,1.0,4.0,3.0,177.5,,,,,,,,710.0,3.0,2.0,00,0.0,0.0,T105,6 años,0.64,126143  -1.0,2.95,604.9565,0
126143  ,1.0,3.0,1.0,4.0,5.0,4.0,7.0,4.0,5.0,177.5,,,,,,,,710.0,0.0,0.0,  ,0.0,0.0,T105,4 años,0.55,126143  -1.0,2.95,604.9565,0
126379  ,1.0,1.0,1.0,48.0,2.0,2.0,4.0,1.0,,208.33333333333334,2.0,1.0,1.0,,200.0,,,1250.0,4.0,1.0,  ,28.0,0.0,T105,46 a 60 años,1.0,126379  -1.0,5.21,1068.4147,0
126379  ,1.0,2.0,2.0,52.0,2.0,2.0,5.0,3.0,4.0,208.33333333333334,,,,,,,,1250.0,7.0,2.0,02,0.0,0.0,T105,46 a 60 años,0.76,126379  -1.0,5.21,1068.4147,0
126379  ,1.0,7.0,2.0,78.0,4.0,2.0,3.0,3.0,1.0,208.33333333333334,,,,,,,1050.0,1250.0,4.0,2.0,01,0.0,0.0,T105,más de 75 años,0.63,126379  -1.0,5.21,1068.4147,0
126379  ,1.0,3.0,1.0,22.0,5.0,2.0,5.0,2.0,,208.33333333333334,3.0,,,4.0,,,,1250.0,6.0,2.0,00,0.0,0.0,T105,18 a 29 años,1.02,126379  -1.0,5.21,1068.4147,0
126379  ,1.0,3.0,2.0,20.0,5.0,2.0,4.0,3.0,4.0,208.33333333333334,,,,,,,,1250.0,4.0,1.0,  ,0.0,0.0,T105,18 a 29 años,0.76,126379  -1.0,5.21,1068.4147,0
126379  ,1.0,3.0,1.0,17.0,5.0,2.0,3.0,3.0,3.0,208.33333333333334,,,,,,,,1250.0,5.0,2.0,04,0.0,0.0,T105,17 años,1.04,126379  -1.0,5.21,1068.4147,0
