CODUSU,nro_hogar,ch03,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,cat_ocup,pp03c,pp03i,pp10a,p21,tot_p12,t_vi,itf,ch12,ch13,ch14,pp3e_tot,pp3f_tot,df,rango_edad,adulto_esquiv,ID_hogar,ad_equiv_hogar,ingreso_necesario,pobre
142341  ,1.0,1.0,1.0,52.0,2.0,4.0,4.0,1.0,,100.0,3.0,1.0,2.0,,500.0,,,500.0,4.0,1.0,  ,64.0,0.0,T105,46 a 60 años,1.0,142341  -1.0,4.05,830.5334999999999,1
142341  ,1.0,2.0,2.0,48.0,2.0,4.0,3.0,3.0,4.0,100.0,,,,,,,,500.0,4.0,2.0,02,0.0,0.0,T105,46 a 60 años,0.76,142341  -1.0,4.05,830.5334999999999,1
142341  ,1.0,3.0,2.0,13.0,5.0,4.0,3.0,3.0,3.0,100.0,,,,,,,,500.0,3.0,2.0,08,0.0,0.0,T105,13 años,0.76,142341  -1.0,4.05,830.5334999999999,1
142341  ,1.0,3.0,2.0,12.0,5.0,4.0,1.0,3.0,3.0,100.0,,,,,,,,500.0,3.0,2.0,06,0.0,0.0,T105,12 años,0.74,142341  -1.0,4.05,830.5334999999999,1
142341  ,1.0,3.0,1.0,10.0,5.0,4.0,1.0,3.0,3.0,100.0,,,,,,,,500.0,3.0,2.0,03,0.0,0.0,T105,10 años,0.79,142341  -1.0,4.05,830.5334999999999,1
142722  ,1.0,1.0,1.0,66.0,2.0,1.0,2.0,3.0,1.0,46.666666666666664,,,,,,,280.0,280.0,2.0,1.0,  ,0.0,0.0,T105,61 a 75 años,0.83,142722  -1.0,4.48,918.7136,1
142722  ,1.0,2.0,2.0,70.0,2.0,1.0,1.0,3.0,4.0,46.666666666666664,,,,,,,,280.0,2.0,2.0,02,0.0,0.0,T105,61 a 75 años,0.67,142722  -1.0,4.48,918.7136,1
142722  ,1.0,3.0,2.0,36.0,5.0,4.0,2.0,3.0,4.0,46.666666666666664,,,,,,,,280.0,2.0,1.0,  ,0.0,0.0,T105,30 a 45 años,0.77,142722  -1.0,4.48,918.7136,1
142722  ,1.0,5.0,1.0,12.0,5.0,4.0,1.0,3.0,3.0,46.666666666666664,,,,,,,,280.0,3.0,2.0,06,0.0,0.0,T105,12 años,0.85,142722  -1.0,4.48,918.7136,1
142722  ,1.0,5.0,2.0,10.0,5.0,4.0,1.0,3.0,3.0,46.666666666666664,,,,,,,,280.0,3.0,2.0,05,0.0,0.0,T105,10 años,0.7,142722  -1.0,4.48,918.7136,1
