cluster_lvl2,superficie_ref_median,superficie_ref_mean,CantidadDormitorios_median,CantidadDormitorios_mean,Antiguedad_median,Antiguedad_mean,tiene_cochera_mean
0,217.0,1824.7492223719323,3.0,2.8801111453714827,7.0,81.09249573738163,0.06701599621737313
1,528.0,2924.786133260219,3.0,3.181655196344919,0.0,10.098653272584217,0.002025622720734851
2,105.0,1187.1046990007187,2.0,2.4740205278429057,5.0,64.52761960326721,0.0876879860980146
3,64.0,1021.3429928343223,2.0,2.0588155047562,12.0,80.16012576554363,0.1506621435732438
