,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,n_non_missing,missing_pct
log_precio_m2,20834594.0,6.8305856656959545,1.6142094447612518,-23.208172486734412,1.7804239595643094,3.8372994592322094,6.612291066088301,7.2685202081723945,7.6761258807796695,8.207038263112398,8.713903485662291,19.596976757002594,20834594,0.2804998218395127
precio_m2,20834594.0,2528.302209164118,142214.22119910736,8.333333333333333e-11,5.932370970931382,46.4,744.1860465116279,1434.4262295081967,2156.25,3666.6666666666665,6086.95652173913,324234234.0,20834594,0.2804998218395127
superficie_ref,20835574.0,433324.17637318047,598563840.7586266,0.01,17.0,31.0,53.0,100.0,250.0,1063.0,8500.0,1534329900000.0,20835574,0.2804659785990542
CantidadDormitorios,19185857.0,2.314166732296608,1.1366769993927703,1.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,10.0,19185857,0.33743717157811515
