cluster_lvl2,year,med_precio_m2,med_log_precio_m2,n_obs,base_precio_m2,indice_base_100
0,2019,922.6726726726727,6.826996064400041,280,922.6726726726727,100.0
0,2020,1050.9554140127389,6.957454947534409,331,922.6726726726727,113.90338579861418
0,2021,915.172735760971,6.819109174787661,346,922.6726726726727,99.18715085708816
0,2022,855.6149732620321,6.7518204773613775,351,922.6726726726727,92.73223306631625
0,2023,741.9354838709677,6.60926229042614,235,922.6726726726727,80.41155935851334
0,2024,811.6634514031145,6.699085785061341,358,922.6726726726727,87.96873208046775
0,2025,857.1428571428571,6.753604599154879,295,922.6726726726727,92.89782633964896
1,2019,70.4225352112676,4.254513314374922,81,70.4225352112676,100.0
1,2020,82.34308348567947,4.410822147463244,89,70.4225352112676,116.92717854966486
1,2021,84.96010842648084,4.4421766584910145,101,70.4225352112676,120.6433539656028
1,2022,118.27956989247312,4.773051058627252,105,70.4225352112676,167.95698924731184
1,2023,106.36942675159236,4.666918193056539,81,70.4225352112676,151.04458598726117
1,2024,104.84722632609956,4.64263250201823,108,70.4225352112676,148.88306138306137
1,2025,91.5,4.516337313359211,90,70.4225352112676,129.93
2,2019,1483.8709677419354,7.302409470986086,736,1483.8709677419354,100.0
2,2020,1495.0,7.309212365692763,771,1483.8709677419354,100.75000000000001
2,2021,1422.077922077922,7.259874406385008,789,1483.8709677419354,95.83568605307735
2,2022,1329.6001327360214,7.19263185752378,794,1483.8709677419354,89.60348720612319
2,2023,1250.0,7.1308988302963465,633,1483.8709677419354,84.23913043478261
2,2024,1306.247518856689,7.174913720842882,798,1483.8709677419354,88.02972409686384
2,2025,1382.7355836849508,7.2318092212190415,661,1483.8709677419354,93.18435455268147
3,2019,2487.43997592046,7.819009073709816,1015,2487.43997592046,100.0
3,2020,2396.1661341853032,7.779950690991067,1042,2487.43997592046,96.3306112863535
3,2021,2142.8571428571427,7.669895331029034,1083,2487.43997592046,86.14708952179613
3,2022,2022.4500538247214,7.6120647829240955,1090,2487.43997592046,81.30648672542652
3,2023,1949.9687304565355,7.575568410045266,890,2487.43997592046,78.39259436742641
3,2024,2063.4271059669063,7.632123382320962,1086,2487.43997592046,82.95384515573484
3,2025,2188.9880952380954,7.691194427989789,908,2487.43997592046,88.0016449212237
