cluster_lvl2,year,med_precio_m2,med_log_precio_m2,n_obs
0,2019,922.6726726726727,6.826996064400041,280
0,2020,1050.9554140127389,6.957454947534409,331
0,2021,915.172735760971,6.819109174787661,346
0,2022,855.6149732620321,6.7518204773613775,351
0,2023,741.9354838709677,6.60926229042614,235
0,2024,811.6634514031145,6.699085785061341,358
0,2025,857.1428571428571,6.753604599154879,295
1,2019,70.4225352112676,4.254513314374922,81
1,2020,82.34308348567947,4.410822147463244,89
1,2021,84.96010842648084,4.4421766584910145,101
1,2022,118.27956989247312,4.773051058627252,105
1,2023,106.36942675159236,4.666918193056539,81
1,2024,104.84722632609956,4.64263250201823,108
1,2025,91.5,4.516337313359211,90
2,2019,1483.8709677419354,7.302409470986086,736
2,2020,1495.0,7.309212365692763,771
2,2021,1422.077922077922,7.259874406385008,789
2,2022,1329.6001327360214,7.19263185752378,794
2,2023,1250.0,7.1308988302963465,633
2,2024,1306.247518856689,7.174913720842882,798
2,2025,1382.7355836849508,7.2318092212190415,661
3,2019,2487.43997592046,7.819009073709816,1015
3,2020,2396.1661341853032,7.779950690991067,1042
3,2021,2142.8571428571427,7.669895331029034,1083
3,2022,2022.4500538247214,7.6120647829240955,1090
3,2023,1949.9687304565355,7.575568410045266,890
3,2024,2063.4271059669063,7.632123382320962,1086
3,2025,2188.9880952380954,7.691194427989789,908
