,count,mean,std,min,25%,50%,75%,max,missing_pct
MontoOperacion,33959265.0,476538.4766837268,10118095.70493365,0.0,60000.0,119900.0,235000.0,2147483647.0,0.015255318562810006
superficie_ref,24358206.0,444795.8592675137,560269823.762806,-60.0,48.0,92.0,230.0,1534329900000.0,0.2936651070672039
precio_m2,22768000.0,7989.9328517938775,1088812.9524247828,8.333333333333333e-11,647.0588235294117,1400.0,2179.6111111111113,850000000.0,0.33977761571217924
CantidadAmbientes,80172.0,2.288429875767101,0.979364157200641,1.0,2.0,2.0,3.0,21.0,0.9976751867097188
CantidadDormitorios,24749527.0,2.421849476153625,501.64665582128794,-16.0,1.0,2.0,3.0,1111111.0,0.2823176508285402
