cluster_lvl2,med_superficie_med,mean_superficie_med,med_n_listings,mean_n_listings
0,180.0,275.92937306501545,51.0,70.4275956284153
1,629.5,711.6909013605442,63.0,155.0381679389313
2,115.0,177.84529934419294,89.0,167.88479351601697
3,70.0,100.43097783767594,145.0,564.33300534158
